ao1 āo
ao2 áo
ao3 ǎo
ao4 ào
ei1 ēi
ei2 éi
ei3 ěi
ei4 èi
in1 īn
in2 ín
in3 ǐn
in4 ìn
ing1 īng
ing2 íng
ing3 ǐng
ing4 ìng
ai1 āi
ai2 ái
ai3 ǎi
ai4 ài
an1 ān
an2 án
an3 ǎn
an4 àn
ang1 āng
ang2 áng
ang3 ǎng
ang4 àng
en1 ēn
en2 én
en3 ěn
en4 èn
er1 ēr
er2 ér
er3 ěr
er4 èr
eng1 ēng
eng2 éng
eng3 ěng
eng4 èng
ong1 ōng
ong2 óng
ong3 ǒng
ong4 òng
ou1 ōu
ou2 óu
ou3 ǒu
ou4 òu
un1 ūn
un2 ún
un3 ǔn
un4 ùn
i1 ī
i2 í
i3 ǐ
i4 ì
o1 ō
o2 ó
o3 ǒ
o4 ò
u1 ū
u2 ú
u3 ǔ
u4 ù
v1 ǖ
v2 ú
v3 ǔ
v4 ù
ü1 ǖ
ü2 ǘ
ü3 ǚ
ü4 ǜ
a1 ā
a2 á
a3 ǎ
a4 à
e1 ě
e2 é
e3 ě
e4 è
ng1 n̄g
ng2 ńg
ng3 ňg
ng4 ǹg
Ng1 N̄g
Ng2 Ńg
Ng3 Ňg
Ng4 Ǹg
